A,B,C,D,E
1,8,-23.83999999,180.3,8
2,2,-21.92,72.25000001,2
3,6,-19.93,144.34,6
4,3,-18.01,90.17,3
5,13,-15.9,270.18,13
6,13,-13.70000001,270.37,13
7,0,-11.68,36.31000001,0
8,38,-9.929999996,720.34,38
9,7,-8.01,162.25,7
10,29,-5.900000003,558.25,29
11,27,-3.940000002,522.36,27
12,32,-2,611.99,32
13,10,0.109999995,216.26,10
14,30,2.290000002,576.34,30
15,15,3.99,306.11,15
16,11,6.05,234.33,11
17,25,8.299999993,486.12,25
18,30,10.21999999,576.33,30
19,9,12.28000001,198.14,9
20,0,14.18999999,36.36,0
21,14,16.36999999,287.98,14
22,35,18,666.16,35
23,21,20.36999999,414.06,21
24,34,22.21,648.18,34
25,31,24.05,594.2,31
26,10,26.02,216.16,10
27,0,28.36999999,36.07,0
28,24,30.2,468.08,24
29,30,32.35,576.21,30
30,36,34.31000001,684.16,36
31,19,36.1,378.24,19
32,38,38.35,720.2,38
33,39,40.02,738.25,39
34,39,42.13000001,738.04,39
35,10,44.13000001,216.24,10
36,38,46.32999999,720.01,38
37,5,48.35,126.16,5
38,14,50.18,288.32,14
39,29,52.32999999,558.29,29
40,0,54.31000001,36.32,0
41,15,56.34000001,306.13,15
42,12,58.08,252.32,12
43,22,60.26999999,431.99,22
44,11,62.25000001,234.12,11
45,19,64.26999999,378.33,19
46,19,66.25000001,378.13,19
47,1,68.05,54.26999999,1
48,39,70.23999999,738.08,39
49,38,72.09,720.35,38
50,29,73.98,558.14,50
51,1,76,54.26,51
52,2,78.29,72.32,52
53,26,80.21999999,504.29,53
54,36,82.26,684.17,54
55,38,84.36999999,720.24,55
56,27,86.1,522.35,56
57,22,88.04,432.26,57
58,20,90.29,396.28,58
59,36,92.23,684.25,59
60,38,94.18,720.25,60
61,21,96.15,414.26,61
62,34,98.12,648.28,62
63,30,100,576.37,63
64,12,102.17,252.14,64
65,21,104.2,414.32,65
66,15,106.11,306.34,66
67,26,108.13,504.05,67
68,6,110.22,144.01,68
69,0,112.27,36.1,69
70,6,114.05,144.29,70
71,30,116.32,576.23,71
72,14,118.04,288.26,72
73,23,120.05,450.31,73
74,31,122.11,594.16,74
75,39,124.09,738.04,75
76,11,126.23,234.08,76
77,3,128.17,90.07,77
78,23,130.08,450.09,78
79,18,132.25,360.09,79
80,31,134.36,594.19,80
81,22,136.33,432.11,81
82,29,138.22,558.35,82
83,27,140.36,522.03,83
84,38,142.01,720.04,84
85,23,144.12,450.21,85
86,35,146.18,666.25,86
87,34,148.25,648.35,87
88,6,150.26,144.14,88
89,35,152.08,666.1,89
90,14,154.11,288.31,90
91,21,156.33,414.26,91
92,37,158.29,702.08,92
93,39,160.3,738.04,93
94,11,162,234.15,94
95,8,164.16,180.07,95
96,20,166.37,396.17,96
97,11,168.18,234.12,97
98,31,170.08,594.37,98
99,9,172.12,198.12,99
100,38,174.35,719.99,100
